02-06-2022 21:10:54.391,-,API,"Router1,0013A20041C37EFF,802.15.4 TH,2003,COM11 - 115200/8/N/1/N,1,46"
02-06-2022 20:52:52.375,149,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:52.499,150,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:52.624,151,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:52.750,152,RECV,7E00198100003400313233343536373839306162636465666768696A46
02-06-2022 20:52:52.813,153,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:52.939,154,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:53.063,155,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:53.190,156,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:53.253,157,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:53.378,158,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:53.506,159,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:53.636,160,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:53.733,161,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:53.945,162,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.070,163,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.132,164,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.257,165,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.382,166,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.508,167,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.571,168,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.697,169,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.823,170,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:54.949,171,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:55.080,172,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:55.137,173,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:55.263,174,RECV,7E00198100003200313233343536373839306162636465666768696A48
02-06-2022 20:52:55.387,175,RECV,7E00198100003100313233343536373839306162636465666768696A49
02-06-2022 20:52:55.455,176,RECV,7E00198100003300313233343536373839306162636465666768696A47
02-06-2022 20:52:55.572,177,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:55.697,178,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:55.822,179,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
02-06-2022 20:52:55.885,180,RECV,7E00198100002F00313233343536373839306162636465666768696A4B
